nuclide	particle	bin_energy_keV	bin_energy_MeV	dn_dE_per_decay_per_keV	dn_dE_per_decay_per_MeV	unc_dn_dE_per_decay_per_keV	nu_dn_dE_per_decay_per_keV	nu_unc_dn_dE_per_decay_per_keV	parent_energy_keV	daughter	source
I-131	beta-	69	0.069	0.00321061	3.21061	0.000021355	0.00020994	0.00000117011	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	70	0.07	0.00320599	3.20599	0.0000213406	0.000215622	0.00000120206	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	71	0.071	0.00320134	3.20134	0.0000213261	0.000221367	0.00000123436	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	72	0.072	0.00319666	3.19666	0.0000213112	0.000227174	0.00000126703	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	73	0.073	0.00319196	3.19196	0.0000212963	0.000233043	0.00000130006	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	74	0.074	0.00318723	3.18723	0.0000212811	0.000238974	0.00000133345	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	75	0.075	0.00318246	3.18246	0.0000212658	0.000244966	0.00000136719	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	76	0.076	0.00317767	3.17767	0.0000212502	0.000251018	0.00000140129	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	77	0.077	0.00317285	3.17285	0.0000212344	0.00025713	0.00000143573	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	78	0.078	0.003168	3.168	0.0000212185	0.000263301	0.00000147053	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	79	0.079	0.00316312	3.16312	0.0000212023	0.000269531	0.00000150567	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	80	0.08	0.0031582	3.1582	0.0000211859	0.00027582	0.00000154115	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	81	0.081	0.00315326	3.15326	0.0000211693	0.000282166	0.00000157697	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	82	0.082	0.00314829	3.14829	0.0000211525	0.000288569	0.00000161313	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	83	0.083	0.00314329	3.14329	0.0000211355	0.00029503	0.00000164962	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	84	0.084	0.00313827	3.13827	0.0000211183	0.000301548	0.00000168645	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	85	0.085	0.00313321	3.13321	0.0000211009	0.00030812	0.00000172361	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	86	0.086	0.00312813	3.12813	0.0000210833	0.000314748	0.00000176109	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	87	0.087	0.00312301	3.12301	0.0000210654	0.000321431	0.0000017989	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	88	0.088	0.00311786	3.11786	0.0000210474	0.000328169	0.00000183704	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	89	0.089	0.00311269	3.11269	0.0000210291	0.000334961	0.00000187549	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	90	0.09	0.00310748	3.10748	0.0000210106	0.000341806	0.00000191427	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	91	0.091	0.00310225	3.10225	0.000020992	0.000348704	0.00000195335	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	92	0.092	0.00309698	3.09698	0.0000209731	0.000355655	0.00000199276	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	93	0.093	0.00309169	3.09169	0.000020954	0.000362658	0.00000203247	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	94	0.094	0.00308637	3.08637	0.0000209347	0.000369712	0.00000207249	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	95	0.095	0.00308102	3.08102	0.0000209151	0.000376818	0.00000211282	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	96	0.096	0.00307564	3.07564	0.0000208954	0.000383974	0.00000215345	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	97	0.097	0.00307024	3.07024	0.0000208755	0.000391179	0.00000219437	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	98	0.098	0.0030648	3.0648	0.0000208553	0.000398435	0.0000022356	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	99	0.099	0.00305933	3.05933	0.000020835	0.00040574	0.00000227712	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	100	0.1	0.00305384	3.05384	0.0000208144	0.000413093	0.00000231895	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	102	0.102	0.00304276	3.04276	0.0000207725	0.000427944	0.00000240345	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	104	0.104	0.00303158	3.03158	0.0000207299	0.000442984	0.0000024891	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	106	0.106	0.00302028	3.02028	0.0000206864	0.000458209	0.00000257588	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	108	0.108	0.00300887	3.00887	0.000020642	0.000473616	0.00000266376	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	110	0.11	0.00299734	2.99734	0.0000205967	0.0004892	0.00000275273	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	112	0.112	0.00298571	2.98571	0.0000205506	0.000504959	0.00000284278	0	Xe	IAEA LiveChart bin_beta Betashape
