nuclide	particle	bin_energy_keV	bin_energy_MeV	dn_dE_per_decay_per_keV	dn_dE_per_decay_per_MeV	unc_dn_dE_per_decay_per_keV	nu_dn_dE_per_decay_per_keV	nu_unc_dn_dE_per_decay_per_keV	parent_energy_keV	daughter	source
F-18	beta+	276	0.276	0.00244509	2.44509	0.00000104991	0.00191639	0.00000377439	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	278	0.278	0.00243576	2.43576	0.000001	0.00193237	0.00000379117	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	280	0.28	0.00242621	2.42621	0.000000949847	0.00194823	0.00000380734	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	282	0.282	0.00241646	2.41646	0.000000899451	0.00196397	0.00000382287	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	284	0.284	0.00240649	2.40649	0.000000848825	0.00197958	0.00000383776	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	286	0.286	0.00239632	2.39632	0.000000797981	0.00199507	0.00000385201	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	288	0.288	0.00238594	2.38594	0.000000746928	0.00201043	0.00000386559	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	290	0.29	0.00237536	2.37536	0.000000695678	0.00202566	0.00000387851	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	292	0.292	0.00236458	2.36458	0.000000644241	0.00204076	0.00000389076	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	294	0.294	0.0023536	2.3536	0.000000592627	0.00205572	0.00000390232	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	296	0.296	0.00234242	2.34242	0.000000540848	0.00207054	0.00000391319	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	298	0.298	0.00233106	2.33106	0.000000488915	0.00208522	0.00000392336	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	300	0.3	0.0023195	2.3195	0.000000436837	0.00209976	0.00000393282	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	302	0.302	0.00230775	2.30775	0.000000384625	0.00211414	0.00000394156	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	304	0.304	0.00229582	2.29582	0.000000332292	0.00212838	0.00000394958	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	306	0.306	0.00228371	2.28371	0.000000279847	0.00214247	0.00000395687	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	308	0.308	0.00227141	2.27141	0.000000227302	0.0021564	0.00000396341	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	310	0.31	0.00225893	2.25893	0.000000174667	0.00217018	0.0000039692	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	312	0.312	0.00224628	2.24628	0.000000121953	0.0021838	0.00000397423	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	314	0.314	0.00223346	2.23346	0.0000000691729	0.00219725	0.00000397849	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	316	0.316	0.00222046	2.22046	0.0000000163363	0.00221054	0.00000398197	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	318	0.318	0.00220729	2.20729	0.0000000444223	0.00222366	0.00000398468	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	320	0.32	0.00219396	2.19396	0.0000000974898	0.00223662	0.00000398658	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	322	0.322	0.00218047	2.18047	0.000000150578	0.0022494	0.00000398769	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	324	0.324	0.00216681	2.16681	0.000000203675	0.00226201	0.00000398798	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	326	0.326	0.002153	2.153	0.00000025677	0.00227444	0.00000398746	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	328	0.328	0.00213902	2.13902	0.000000309851	0.00228669	0.0000039861	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	330	0.33	0.0021249	2.1249	0.000000362907	0.00229876	0.00000398392	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	332	0.332	0.00211062	2.11062	0.000000415926	0.00231064	0.00000398088	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	334	0.334	0.0020962	2.0962	0.000000468896	0.00232234	0.000003977	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	336	0.336	0.00208162	2.08162	0.000000521806	0.00233385	0.00000397225	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	338	0.338	0.00206691	2.06691	0.000000574644	0.00234517	0.00000396663	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	340	0.34	0.00205205	2.05205	0.000000627398	0.0023563	0.00000396013	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	342	0.342	0.00203706	2.03706	0.000000680056	0.00236722	0.00000395275	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	344	0.344	0.00202193	2.02193	0.000000732607	0.00237796	0.00000394447	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	346	0.346	0.00200666	2.00666	0.000000785038	0.00238849	0.00000393528	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	348	0.348	0.00199127	1.99127	0.000000837337	0.00239881	0.00000392518	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	350	0.35	0.00197575	1.97575	0.000000889493	0.00240893	0.00000391416	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	352	0.352	0.0019601	1.9601	0.000000941493	0.00241885	0.00000390221	0	O	IAEA LiveChart bin_beta Betashape
F-18	beta+	354	0.354	0.00194433	1.94433	0.000000993325	0.00242855	0.00000388932	0	O	IAEA LiveChart bin_beta Betashape
